timestamp,type,initiator,ch,param,value_a,value_b
2026-08-09T13:43:42,SYSTEM,SYS,0,0,11,23688
2026-08-09T13:43:41,SENSOR_HR,SYS,2,0,42,0
2026-08-09T13:44:12,SENSOR_HR,SYS,0,0,349,26
2026-08-09T13:44:12,SENSOR_HR,SYS,1,0,11,310
2026-08-09T13:44:12,SENSOR_HR,SYS,2,0,42,0
2026-08-09T13:44:13,SYSTEM,WEB,0,0,1,1
2026-08-09T13:44:14,SYSTEM,WEB,0,0,1,0
2026-08-09T13:44:35,SYSTEM,SYS,0,0,7,81
2026-08-09T13:44:35,SYSTEM,SYS,0,0,8,8153
2026-08-09T13:44:35,SYSTEM,SYS,0,0,12,31
2026-08-09T13:44:42,SENSOR_HR,SYS,0,0,348,25
2026-08-09T13:44:42,SENSOR_HR,SYS,1,0,17,317
2026-08-09T13:44:42,SENSOR_HR,SYS,2,0,42,0
2026-08-09T13:45:12,SENSOR_HR,SYS,0,0,348,26
2026-08-09T13:45:12,SENSOR_HR,SYS,1,0,13,322
2026-08-09T13:45:12,SENSOR_HR,SYS,2,0,42,0
2026-08-09T13:45:35,SYSTEM,SYS,0,0,7,81
2026-08-09T13:45:35,SYSTEM,SYS,0,0,8,8153
2026-08-09T13:45:35,SYSTEM,SYS,0,0,12,31
2026-08-09T13:45:42,SENSOR_HR,SYS,0,0,348,25
2026-08-09T13:45:42,SENSOR_HR,SYS,1,0,27,285
2026-08-09T13:45:42,SENSOR_HR,SYS,2,0,42,0
2026-08-09T13:46:12,SENSOR_HR,SYS,0,0,347,25
2026-08-09T13:46:12,SENSOR_HR,SYS,1,0,17,286
2026-08-09T13:46:12,SENSOR_HR,SYS,2,0,42,0
2026-08-09T13:46:15,SYSTEM,WEB,0,0,1,0
2026-08-09T13:46:35,SYSTEM,SYS,0,0,7,81
2026-08-09T13:46:35,SYSTEM,SYS,0,0,8,8153
2026-08-09T13:46:35,SYSTEM,SYS,0,0,12,31
2026-08-09T13:46:42,SENSOR_HR,SYS,0,0,348,25
2026-08-09T13:46:42,SENSOR_HR,SYS,1,0,6,232
2026-08-09T13:46:42,SENSOR_HR,SYS,2,0,42,0
2026-08-09T13:47:13,SENSOR_HR,SYS,0,0,347,25
2026-08-09T13:47:13,SENSOR_HR,SYS,1,0,2,216
2026-08-09T13:47:13,SENSOR_HR,SYS,2,0,42,0
2026-08-09T13:47:35,SYSTEM,SYS,0,0,7,81
2026-08-09T13:47:35,SYSTEM,SYS,0,0,8,8153
2026-08-09T13:47:35,SYSTEM,SYS,0,0,12,31
2026-08-09T13:47:43,SENSOR_HR,SYS,0,0,348,25
2026-08-09T13:47:43,SENSOR_HR,SYS,1,0,3,216
2026-08-09T13:47:43,SENSOR_HR,SYS,2,0,42,0
2026-08-09T13:47:55,SYSTEM,SYS,0,0,21,39
2026-08-09T13:48:13,SENSOR_HR,SYS,0,0,348,25
2026-08-09T13:48:13,SENSOR_HR,SYS,1,0,10,354
2026-08-09T13:48:13,SENSOR_HR,SYS,2,0,42,0
2026-08-09T13:48:15,SYSTEM,WEB,0,0,1,0
2026-08-09T13:48:35,SYSTEM,SYS,0,0,7,81
2026-08-09T13:48:35,SYSTEM,SYS,0,0,8,8153
2026-08-09T13:48:35,SYSTEM,SYS,0,0,12,31
2026-08-09T13:48:43,SENSOR_HR,SYS,0,0,347,26
2026-08-09T13:48:43,SENSOR_HR,SYS,1,0,3,254
2026-08-09T13:48:43,SENSOR_HR,SYS,2,0,42,0
2026-08-09T13:49:13,SENSOR_HR,SYS,0,0,349,28
2026-08-09T13:49:13,SENSOR_HR,SYS,1,0,5,334
2026-08-09T13:49:13,SENSOR_HR,SYS,2,0,42,0
2026-08-09T13:49:35,SYSTEM,SYS,0,0,7,81
2026-08-09T13:49:35,SYSTEM,SYS,0,0,8,8153
2026-08-09T13:49:35,SYSTEM,SYS,0,0,12,31
2026-08-09T13:49:43,SENSOR_HR,SYS,0,0,348,31
2026-08-09T13:49:43,SENSOR_HR,SYS,1,0,12,310
2026-08-09T13:49:43,SENSOR_HR,SYS,2,0,42,0
2026-08-09T13:50:14,SENSOR_HR,SYS,0,0,349,29
2026-08-09T13:50:14,SENSOR_HR,SYS,1,0,15,293
2026-08-09T13:50:14,SENSOR_HR,SYS,2,0,42,0
2026-08-09T13:50:16,SYSTEM,WEB,0,0,1,0
2026-08-09T13:50:35,SYSTEM,SYS,0,0,7,81
2026-08-09T13:50:35,SYSTEM,SYS,0,0,8,8153
2026-08-09T13:50:35,SYSTEM,SYS,0,0,12,31
2026-08-09T13:50:44,SENSOR_HR,SYS,0,0,348,31
2026-08-09T13:50:44,SENSOR_HR,SYS,1,0,21,291
2026-08-09T13:50:44,SENSOR_HR,SYS,2,0,42,0
2026-08-09T13:51:14,SENSOR_HR,SYS,0,0,349,28
2026-08-09T13:51:14,SENSOR_HR,SYS,1,0,37,275
2026-08-09T13:51:14,SENSOR_HR,SYS,2,0,42,0
2026-08-09T13:51:35,SYSTEM,SYS,0,0,7,81
2026-08-09T13:51:35,SYSTEM,SYS,0,0,8,8153
2026-08-09T13:51:35,SYSTEM,SYS,0,0,12,31
