timestamp,type,initiator,ch,param,value_a,value_b
2026-09-07T04:33:46,SYSTEM,SYS,0,0,11,23688
2026-09-07T04:34:08,SYSTEM,WEB,0,0,1,1
2026-09-07T04:34:14,SYSTEM,WEB,0,0,1,0
2026-09-07T04:34:15,SENSOR_HR,SYS,0,0,159,92
2026-09-07T04:34:15,SENSOR_HR,SYS,1,0,0,341
2026-09-07T04:34:15,SENSOR_HR,SYS,2,0,0,0
2026-09-07T04:34:45,SENSOR_HR,SYS,0,0,159,92
2026-09-07T04:34:45,SENSOR_HR,SYS,1,0,0,341
2026-09-07T04:34:45,SENSOR_HR,SYS,2,0,0,0
2026-09-07T04:34:46,SYSTEM,SYS,0,0,7,82
2026-09-07T04:34:46,SYSTEM,SYS,0,0,8,8152
2026-09-07T04:34:46,SYSTEM,SYS,0,0,12,31
2026-09-07T04:35:15,SENSOR_HR,SYS,0,0,159,92
2026-09-07T04:35:15,SENSOR_HR,SYS,1,0,0,341
2026-09-07T04:35:15,SENSOR_HR,SYS,2,0,0,0
2026-09-07T04:35:46,SENSOR_HR,SYS,0,0,160,92
2026-09-07T04:35:46,SENSOR_HR,SYS,1,0,0,341
2026-09-07T04:35:46,SENSOR_HR,SYS,2,0,0,0
2026-09-07T04:35:46,SYSTEM,SYS,0,0,7,82
2026-09-07T04:35:46,SYSTEM,SYS,0,0,8,8152
2026-09-07T04:35:46,SYSTEM,SYS,0,0,12,31
2026-09-07T04:36:15,SYSTEM,WEB,0,0,1,0
2026-09-07T04:36:16,SENSOR_HR,SYS,0,0,159,92
2026-09-07T04:36:16,SENSOR_HR,SYS,1,0,0,341
2026-09-07T04:36:16,SENSOR_HR,SYS,2,0,0,0
2026-09-07T04:36:46,SENSOR_HR,SYS,0,0,158,92
2026-09-07T04:36:46,SENSOR_HR,SYS,1,0,0,341
2026-09-07T04:36:46,SENSOR_HR,SYS,2,0,0,0
2026-09-07T04:36:46,SYSTEM,SYS,0,0,7,82
2026-09-07T04:36:46,SYSTEM,SYS,0,0,8,8152
2026-09-07T04:36:46,SYSTEM,SYS,0,0,12,31
2026-09-07T04:37:16,SENSOR_HR,SYS,0,0,160,92
2026-09-07T04:37:16,SENSOR_HR,SYS,1,0,0,341
2026-09-07T04:37:16,SENSOR_HR,SYS,2,0,0,0
2026-09-07T04:37:46,SYSTEM,SYS,0,0,7,82
2026-09-07T04:37:46,SYSTEM,SYS,0,0,8,8152
2026-09-07T04:37:46,SYSTEM,SYS,0,0,12,31
2026-09-07T04:37:46,SENSOR_HR,SYS,0,0,160,92
2026-09-07T04:37:46,SENSOR_HR,SYS,1,0,0,341
2026-09-07T04:37:46,SENSOR_HR,SYS,2,0,0,0
2026-09-07T04:38:15,SYSTEM,WEB,0,0,1,0
2026-09-07T04:38:16,SENSOR_HR,SYS,0,0,160,92
2026-09-07T04:38:16,SENSOR_HR,SYS,1,0,0,341
2026-09-07T04:38:16,SENSOR_HR,SYS,2,0,0,0
2026-09-07T04:38:46,SYSTEM,SYS,0,0,7,82
2026-09-07T04:38:46,SYSTEM,SYS,0,0,8,8152
