dateTime,sensor,sensorLatitude,sensorLongitude,sensorBattery,doorStatus,doorOpenTimes,lastDoorOpenDuration,doorAlarm,doorMode
2026-06-06 11:33:38,lds01-5,52.25,5.97339,3.036,1,60,0,0,1
2026-06-06 11:36:44,lds01-5,52.25,5.97339,3.018,0,66,0,0,1
2026-06-06 11:37:20,lds01-5,52.25,5.97339,3.018,0,67,0,0,1
2026-06-06 11:39:10,lds01-5,52.25,5.97339,3.018,0,68,1,0,1
2026-06-06 11:40:06,lds01-5,52.25,5.97339,3.012,0,70,0,0,1
2026-06-10 17:50:19,lds01-5,52.25,5.97339,2.862,0,78,98,0,1
2026-06-13 09:58:26,lds01-5,52.25,5.97339,2.892,1,0,0,0,1
2026-06-13 10:00:27,lds01-5,52.25,5.97339,2.892,0,0,2,0,1
2026-06-14 09:58:27,lds01-5,52.25,5.97339,2.838,0,0,2,0,1
2026-06-15 09:58:29,lds01-5,52.25,5.97339,2.832,0,0,2,0,1
2026-06-16 09:20:50,lds01-5,52.25,5.97339,2.922,1,1,2,0,1
2026-06-16 09:58:31,lds01-5,52.25,5.97339,2.916,1,1,2,0,1
2026-06-16 12:01:50,lds01-5,52.25,5.97339,2.868,0,1,160,0,1
2026-06-17 09:58:33,lds01-5,52.25,5.97339,2.862,0,1,160,0,1
2026-06-17 14:58:10,lds01-5,52.25,5.97339,2.856,1,2,160,0,1
2026-06-18 09:58:49,lds01-5,52.25,5.97339,2.922,0,0,0,0,1
2026-06-19 06:29:07,lds01-5,52.25,5.97339,2.874,1,1,0,0,1
2026-06-19 09:58:51,lds01-5,52.25,5.97339,2.91,1,1,0,0,1
2026-06-19 21:07:51,lds01-5,52.25,5.97339,2.85,0,1,878,0,1
2026-06-20 09:58:53,lds01-5,52.25,5.97339,2.94,0,1,878,0,1
2026-06-21 05:57:35,lds01-5,52.25,5.97339,2.808,1,2,878,0,1
2026-06-21 09:58:56,lds01-5,52.25,5.97339,2.892,1,2,878,0,1
2026-06-21 16:51:20,lds01-5,52.25,5.97339,2.85,0,2,653,0,1
2026-06-22 09:58:58,lds01-5,52.25,5.97339,2.862,0,2,653,0,1
2026-06-23 07:31:33,lds01-5,52.25,5.97339,2.79,1,3,653,0,1
2026-06-23 09:38:25,lds01-5,52.25,5.97339,2.874,0,3,126,0,1
2026-06-23 09:59:00,lds01-5,52.25,5.97339,2.874,0,3,126,0,1
2026-06-24 06:33:34,lds01-5,52.25,5.97339,2.868,1,4,126,0,1
2026-06-24 14:10:45,lds01-5,52.25,5.97339,2.886,0,4,457,0,1
2026-06-25 09:59:05,lds01-5,52.25,5.97339,2.88,0,4,457,0,1
